Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values,,Cone x location (microns),Cone y location (microns),Cone spectral type,Zernike Coeffs,Values,Parameter_Name,Values
2.3,2.3,M,Z0 (Piston),0,subject Id,AO001,,3.9,7,M,Z0 (Piston),0,subject Id,AO001,,4.7,289.9,L,Z0 (Piston),0,subject Id,AO001
2.3,8.5,L,Z1 (Tip),0,Age (years),41,,3.9,26.4,L,Z1 (Tip),0,Age (years),41,,5.4,79.1,M,Z1 (Tip),0,Age (years),41
2.3,36.4,M,Z2 (Tilt),0,Eye,OD,,3.9,79.1,L,Z2 (Tilt),0,Eye,OD,,6.2,99.2,L,Z2 (Tilt),0,Eye,OD
2.3,64.3,L,Z3 (Astig 45),0.123753917,Axial length (mm),24.5,,3.9,231,L,Z3 (Astig 45),0.003588131,Axial length (mm),24.5,,6.8,301.2,NC,Z3 (Astig 45),0.076862808,Axial length (mm),24.5
2.3,69.8,M,Z4 (Defocus),1,Meridian,Nasal,,3.9,269.7,L,Z4 (Defocus),1,Meridian,Nasal,,7,29.5,L,Z4 (Defocus),0.8,Meridian,Nasal
2.3,102.3,L,Z5 (Astig 0),0.170046932,"Eccentricity (x,y) (deg)","(1.5,0)",,3.9,358.9,L,Z5 (Astig 0),0.139092361,"Eccentricity (x,y) (deg)","(4,0)",,7.8,245.7,M,Z5 (Astig 0),0.18854294,"Eccentricity (x,y) (deg)","(10,0)"
2.3,131.8,L,Z6,-0.008286949,"Eccentricity (x,y) (mm)","(0.44,0)",,4.7,62,M,Z6,-0.002457022,"Eccentricity (x,y) (mm)","(1.18,0)",,8.5,39.5,S,Z6,-0.010117736,"Eccentricity (x,y) (mm)","(2.96,0)"
2.3,154.2,L,Z7,-0.37498025,Retinal maginification factor (microns/deg),296.2,,4.7,102.3,S,Z7,-0.327445041,Retinal maginification factor (microns/deg),296.2,,8.5,116.3,L,Z7,-0.291210647,Retinal maginification factor (microns/deg),296.2
2.3,165.9,L,Z8,-0.136146209,FOV (mm),0.25 x 0.24,,4.7,210,L,Z8,-0.024397195,FOV (mm),0.39 x 0.28,,8.5,227.9,M,Z8,0.073637311,FOV (mm),0.35 x 0.28
2.3,210,M,Z9,0.16629725,L/M ratio,2.5,,4.7,317,L,Z9,0.182785357,L/M ratio,2.4,,8.5,322.4,M,Z9,0.174189103,L/M ratio,2.8
2.3,230.2,L,Z10,0.155094319,% S-cones,6.5,,4.7,341,L,Z10,0.139370734,% S-cones,7,,8.5,334.8,NC,Z10,0.127946895,% S-cones,9.7
2.3,241,L,Z11,-0.105925731,L-cone density (cones per square mm),23040.5,,5.4,108.5,L,Z11,-0.093468637,L-cone density (cones per square mm),9841.3,,9.3,161.2,S,Z11,-0.081799775,L-cone density (cones per square mm),5164.5
3.1,16.3,S,Z12,0.171936293,M-cone density (cones per square mm),9363.9,,5.4,125.6,L,Z12,0.169649265,M-cone density (cones per square mm),4081.8,,9.3,178.3,S,Z12,0.159163954,M-cone density (cones per square mm),1870.4
